energy_function,model_name,energy,time,num_cg_modes,lr,lr_cg,clamp_grads,patience,min_delta,cg_patience,cg_min_delta,cg_steps,cg_time,cg_energy,hidden_dims,x0_std,num_nodes
Energy_Bond_LJ,GNN_Bond_LJ0.20_n400_d3,-0.023226791992783546,32.09444189071655,80.0,0.01,0.001,0.1,40,1e-06,40.0,9.999999999999999e-06,1072.0,25.963353395462036,-0.02301791124045849,"[8, 4, 3]",1.8718467950820923,400
Energy_Bond_LJ,CG_Bond_LJ0.20_n400_d3,-0.0018088178476318717,23.483344554901123,,0.01,0.01,0.1,40,1e-06,40.0,9.999999999999999e-06,770.0,14.6587655544281,0.0018860590644180775,,1.8718467950820923,400
Energy_Bond_LJ,Bond_LJ_n400_d3,-0.023226775228977203,19.98955798149109,,0.01,,0.1,40,1e-06,,,,,,,1.8718467950820923,400
Energy_Bond_LJ,GNN_Bond_LJ0.20_n400_d3,0.019675523042678833,25.253593921661377,80.0,0.01,0.001,0.1,40,1e-06,40.0,9.999999999999999e-06,783.0,18.89213991165161,0.020155515521764755,"[8, 4, 3]",1.8718467950820923,400
Energy_Bond_LJ,CG_Bond_LJ0.20_n400_d3,-0.0017734301509335637,19.946645259857178,,0.01,0.01,0.1,40,1e-06,40.0,9.999999999999999e-06,711.0,13.74473237991333,0.0019676340743899345,,1.8718467950820923,400
Energy_Bond_LJ,Bond_LJ_n400_d3,-0.023224417120218277,20.108646631240845,,0.01,,0.1,40,1e-06,,,,,,,1.8718467950820923,400
Energy_Bond_LJ,GNN_Bond_LJ0.20_n400_d3,0.019644586369395256,34.977800369262695,80.0,0.01,0.001,0.1,40,1e-06,40.0,9.999999999999999e-06,1072.0,25.911100149154663,0.02015398070216179,"[8, 4, 3]",1.8718467950820923,400
Energy_Bond_LJ,CG_Bond_LJ0.20_n400_d3,-0.0017923329723998904,22.836333990097046,,0.01,0.01,0.1,40,1e-06,40.0,9.999999999999999e-06,814.0,16.151919841766357,0.0017932606860995293,,1.8718467950820923,400
Energy_Bond_LJ,Bond_LJ_n400_d3,-0.023219646885991096,20.06518816947937,,0.01,,0.1,40,1e-06,,,,,,,1.8718467950820923,400
Energy_Bond_LJ,GNN_Bond_LJ0.20_n400_d3,-0.0231747068464756,25.161882877349854,80.0,0.01,0.001,0.1,40,1e-06,40.0,9.999999999999999e-06,787.0,19.003511667251587,-0.022347593680024147,"[8, 4, 3]",1.8718467950820923,400
Energy_Bond_LJ,CG_Bond_LJ0.20_n400_d3,-0.0017925051506608725,22.71782398223877,,0.01,0.01,0.1,40,1e-06,40.0,9.999999999999999e-06,703.0,13.65954041481018,0.0019205313874408603,,1.8718467950820923,400
Energy_Bond_LJ,Bond_LJ_n400_d3,-0.023227252066135406,19.87428331375122,,0.01,,0.1,40,1e-06,,,,,,,1.8718467950820923,400
Energy_Bond_LJ,GNN_Bond_LJ0.20_n400_d3,-0.023264551535248756,31.391700744628906,80.0,0.01,0.001,0.1,40,1e-06,40.0,9.999999999999999e-06,784.0,19.34183645248413,-0.022868487983942032,"[32, 16, 3]",1.8718467950820923,400
