energy_function,model_name,energy,time,lr,clamp_grads,patience,min_delta,x0_std,num_nodes,lr_cg,cg_patience,cg_min_delta,cg_steps,cg_time,cg_energy,num_cg_modes,hidden_dims
Energy_LJ_2scale,Bond_LJ_n400_d3,0.2474031150341034,1.3922784328460693,0.05,0.1,20,1e-06,1.838327407836914,400,,,,,,,,
Energy_LJ_2scale,CG_Bond_LJ0.33_n400_d3,0.727117121219635,9.580374002456665,0.05,0.1,20,1e-06,1.838327407836914,400,0.05,20.0,9.999999999999999e-06,527.0,8.515157699584961,0.7492554187774658,,
Energy_LJ_2scale,GNN_Bond_LJ0.33_n400_d3,0.3275684416294098,10.335653066635132,0.05,0.1,20,1e-06,1.838327407836914,400,0.005,20.0,9.999999999999999e-06,422.0,8.722152948379517,0.3283454477787018,133.0,"[8, 4, 3]"
Energy_LJ_2scale,GNN_Bond_LJ0.33_n400_d3,-0.0537404790520668,3.725069999694824,0.05,0.1,20,1e-06,1.838327407836914,400,0.005,20.0,9.999999999999999e-06,34.0,1.1925334930419922,-0.01895548403263092,133.0,"[32, 16, 3]"
Energy_LJ_2scale,CG_Bond_LJ0.25_n400_d3,0.518100917339325,14.386984586715698,0.05,0.1,20,1e-06,1.838327407836914,400,0.05,20.0,9.999999999999999e-06,822.0,13.196695327758789,0.5421271920204163,,
Energy_LJ_2scale,GNN_Bond_LJ0.25_n400_d3,0.43245041370391846,11.663183212280273,0.05,0.1,20,1e-06,1.838327407836914,400,0.005,20.0,9.999999999999999e-06,554.0,11.378262519836426,0.4372400939464569,100.0,"[8, 4, 3]"
Energy_LJ_2scale,GNN_Bond_LJ0.25_n400_d3,-0.055413611233234406,2.4305782318115234,0.05,0.1,20,1e-06,1.838327407836914,400,0.005,20.0,9.999999999999999e-06,32.0,1.1538352966308594,-0.024111051112413406,100.0,"[32, 16, 3]"
Energy_LJ_2scale,CG_Bond_LJ0.20_n400_d3,0.8381765484809875,14.068848609924316,0.05,0.1,20,1e-06,1.838327407836914,400,0.05,20.0,9.999999999999999e-06,790.0,12.648371934890747,0.8642316460609436,,
Energy_LJ_2scale,GNN_Bond_LJ0.20_n400_d3,0.5509846210479736,12.134813785552979,0.05,0.1,20,1e-06,1.838327407836914,400,0.005,20.0,9.999999999999999e-06,468.0,9.703699350357056,0.5481737852096558,80.0,"[8, 4, 3]"
Energy_LJ_2scale,GNN_Bond_LJ0.20_n400_d3,-0.04280225187540054,3.032923698425293,0.05,0.1,20,1e-06,1.838327407836914,400,0.005,20.0,9.999999999999999e-06,37.0,1.264897346496582,-0.011614427901804447,80.0,"[32, 16, 3]"
Energy_LJ_2scale,CG_Bond_LJ0.33_n400_d3,-0.06058235466480255,6.626070976257324,0.05,0.1,20,1e-06,1.838327407836914,400,0.5,20.0,9.999999999999999e-06,323.0,5.603952646255493,-0.00970237422734499,,
Energy_LJ_2scale,GNN_Bond_LJ0.33_n400_d3,0.2290918081998825,2.0989067554473877,0.05,0.1,20,1e-06,1.838327407836914,400,0.05,20.0,9.999999999999999e-06,70.0,1.8195788860321045,0.23316223919391632,133.0,"[8, 4, 3]"
Energy_LJ_2scale,GNN_Bond_LJ0.33_n400_d3,0.614436686038971,1.3565008640289307,0.05,0.1,20,1e-06,1.838327407836914,400,0.05,20.0,9.999999999999999e-06,27.0,1.0440337657928467,0.6338542103767395,133.0,"[32, 16, 3]"
Energy_LJ_2scale,CG_Bond_LJ0.25_n400_d3,-0.09826475381851196,7.445239782333374,0.05,0.1,20,1e-06,1.838327407836914,400,0.5,20.0,9.999999999999999e-06,354.0,6.051075220108032,-0.058530211448669434,,
Energy_LJ_2scale,GNN_Bond_LJ0.25_n400_d3,-0.016673926264047623,3.348553419113159,0.05,0.1,20,1e-06,1.838327407836914,400,0.05,20.0,9.999999999999999e-06,27.0,0.9688293933868408,-0.0032714230474084616,100.0,"[8, 4, 3]"
Energy_LJ_2scale,GNN_Bond_LJ0.25_n400_d3,0.39953601360321045,1.3723373413085938,0.05,0.1,20,1e-06,1.838327407836914,400,0.05,20.0,9.999999999999999e-06,28.0,1.0634770393371582,0.5399802923202515,100.0,"[32, 16, 3]"
Energy_LJ_2scale,CG_Bond_LJ0.20_n400_d3,0.3027791976928711,7.511576414108276,0.05,0.1,20,1e-06,1.838327407836914,400,0.5,20.0,9.999999999999999e-06,351.0,5.998460054397583,0.33545151352882385,,
Energy_LJ_2scale,GNN_Bond_LJ0.20_n400_d3,0.09391794353723526,1.6433651447296143,0.05,0.1,20,1e-06,1.838327407836914,400,0.05,20.0,9.999999999999999e-06,25.0,0.957021951675415,0.10375361889600754,80.0,"[8, 4, 3]"
Energy_LJ_2scale,GNN_Bond_LJ0.20_n400_d3,1.0554450750350952,1.3036103248596191,0.05,0.1,20,1e-06,1.838327407836914,400,0.05,20.0,9.999999999999999e-06,25.0,1.0154263973236084,1.1672085523605347,80.0,"[32, 16, 3]"
Energy_LJ_2scale,Bond_LJ_n400_d3,0.24416668713092804,2.468500852584839,0.05,0.1,20,1e-07,1.838327407836914,400,,,,,,,,
Energy_LJ_2scale,CG_Bond_LJ0.33_n400_d3,0.7303059697151184,8.994824886322021,0.05,0.1,20,1e-07,1.838327407836914,400,0.05,20.0,1e-06,469.0,7.7329370975494385,0.7505285739898682,,
Energy_LJ_2scale,GNN_Bond_LJ0.33_n400_d3,1.20404052734375,12.225987911224365,0.05,0.1,20,1e-07,1.838327407836914,400,0.005,20.0,1e-06,465.0,9.602828979492188,1.204888105392456,133.0,"[8, 4, 3]"
Energy_LJ_2scale,GNN_Bond_LJ0.33_n400_d3,0.055602509528398514,2.942793607711792,0.05,0.1,20,1e-07,1.838327407836914,400,0.005,20.0,1e-06,31.0,1.1312644481658936,0.0902203768491745,133.0,"[32, 16, 3]"
Energy_LJ_2scale,CG_Bond_LJ0.25_n400_d3,0.520219087600708,15.94770359992981,0.05,0.1,20,1e-07,1.838327407836914,400,0.05,20.0,1e-06,922.0,14.776321172714233,0.5410850644111633,,
Energy_LJ_2scale,GNN_Bond_LJ0.25_n400_d3,1.2992781400680542,15.337843418121338,0.05,0.1,20,1e-07,1.838327407836914,400,0.005,20.0,1e-06,616.0,12.83412218093872,1.2995034456253052,100.0,"[8, 4, 3]"
